"Biomi %Alta","Biomi %Bassa","Fazioni","Grado Sfida","Link 5et","Nome","Tag","Tipo","Descrizione"
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","2.0","https://5e.tools/bestiary.html#ogre%20zombie_mm","Ogre Zombie","Zombie","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Ogre","",""
"","","","","","","Servitore","",""
"Cimitero","Montagna","Non Morti","5.0","https://5e.tools/bestiary.html#beholder%20zombie_mm","Beholder Zombie","Zombie","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Beholder","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Artico","","Non Morti","5.0","https://5e.tools/bestiary.html#revenant_mm","Revenant","Zombie","Non Morto",""
"Deserto","","","","","","","",""
"Foresta","","","","","","","",""
"Collina","","","","","","","",""
"Palude","","","","","","","",""
"Cimitero","","","","","","","",""
"","","","","","","Interessante","",""
"Deserto","","Non Morti","5.0","https://5e.tools/bestiary.html#spawn%20of%20kyuss_vgm","Spawn of Kyuss","Zombie","Non Morto",""
"Cimitero","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","17.0","https://5e.tools/bestiary.html#death%20knight_mm","Death Knight","Zombie","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","0.5","https://5e.tools/bestiary.html#shadow_mm","Shadow","Endemico","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Foresta","","Non Morti","2.0","https://5e.tools/bestiary.html#will-o'-wisp_mm","Fuoco Fatuo","Endemico","Non Morto",""
"Palude","","","","","","","",""
"Cimitero","","","","","","","",""
"","","Fuoco","","","","","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","3.0","https://5e.tools/bestiary.html#vampiric%20mist_mtf","Vampiric Mist","Endemico","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","6.0","https://5e.tools/bestiary.html#bodak_vgm","Bodak","Boss","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","12.0","https://5e.tools/bestiary.html#boneclaw_mtf","Boneclaw","Boss","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","12.0","https://5e.tools/bestiary.html#eidolon_mtf","Eidolon","Boss","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","13.0","https://5e.tools/bestiary.html#devourer_vgm","Devourer","Boss","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","15.0","https://5e.tools/bestiary.html#skull%20lord_mtf","Skull Lord","Boss","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Shadowfell","","Non Morti","20.0","https://5e.tools/bestiary.html#nightwalker_mtf","Nightwalker","Boss","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Cimitero","","Non Morti","5.0","https://5e.tools/bestiary.html#vampire%20spawn_mm","Vampire Spawn","Vampiro","Non Morto",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","Vampiri","","","","","",""
"","","","","","","Sociale","",""
"Cimitero","","Non Morti","13.0","https://5e.tools/bestiary.html#vampire_mm","Vampire","Vampiro","Non Morto",""
"Urbano","","","","","","","",""
"","","Vampiri","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Mutaforma","",""
"Foresta","","Maligni","0.125","https://5e.tools/bestiary.html#twig%20blight_mm","Arbusto Maligno","Maligno","Pianta",""
"","","","","","","Sociale","",""
"Foresta","","Maligni","0.25","https://5e.tools/bestiary.html#needle%20blight_mm","Ago Maligno","Maligno","Pianta",""
"","","","","","","Sociale","",""
"Foresta","","Maligni","0.5","https://5e.tools/bestiary.html#vine%20blight_mm","Rampicante Maligno","Maligno","Pianta",""
"","","","","","","Sociale","",""
"Underdark","","Miconidi","0.0","https://5e.tools/bestiary.html#myconid%20sprout_mm","Miconide Germoglio","Miconide","Pianta",""
"Dungeon","","","","","","","",""
"","","","","","","Fungo","",""
"","","","","","","Sociale","",""
"Underdark","","Miconidi","0.5","https://5e.tools/bestiary.html#myconid%20adult_mm","Miconide Adulto","Miconide","Pianta",""
"Dungeon","","","","","","","",""
"","","","","","","Fungo","",""
"","","","","","","Sociale","",""
"Underdark","","Miconidi","1.0","https://5e.tools/bestiary.html#quaggoth%20spore%20servant_mm","Quaggoth Spore Servant","Miconide","Pianta",""
"Dungeon","","","","","","","",""
"","","","","","","Fungo","",""
"","","","","","","Sociale","",""
"Underdark","","Miconidi","2.0","https://5e.tools/bestiary.html#myconid%20sovereign_mm","Miconide Sovrano","Miconide","Pianta",""
"Dungeon","","","","","","","",""
"","","","","","","Fungo","",""
"","","","","","","Sociale","",""
"Deserto","","","4.0","https://5e.tools/bestiary.html#yeth%20hound_vgm","Segugi di Yeth","Cane","Fatato",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Feywild","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Underdark","","","0.0","https://5e.tools/bestiary.html#shrieker_mm","Boleto Stridente","Fungo","Pianta",""
"Dungeon","","","","","","","",""
"","","","","","","Innocuo","",""
"","","","","","","Interessante","",""
"Underdark","","","0.25","https://5e.tools/bestiary.html#violet%20fungus_mm","Fungo Viola","Fungo","Pianta",""
"Dungeon","","","","","","","",""
"","","","","","","Innocuo","",""
"","","","","","","Interessante","",""
"Foresta","","","9.0","https://5e.tools/bestiary.html#treant_mm","Treant","Sociale","Pianta",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Foresta","","","0.0","https://5e.tools/bestiary.html#awakened%20shrub_mm","Cespuglio risvegliato","Vegetale Animato","Pianta",""
"","","","","","","Non Violento","",""
"Foresta","","","2.0","https://5e.tools/bestiary.html#awakened%20tree_mm","Albero Risvegliato","Vegetale Animato","Pianta",""
"","","","","","","Non Violento","",""
"Foresta","","","5.0","https://5e.tools/bestiary.html#shambling%20mound_mm","Cumulo Strisciante","Vegetale Animato","Pianta",""
"Palude","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Underdark","","","0.5","https://5e.tools/bestiary.html#gas%20spore_mm","Spora Gassosa","Innocuo","Pianta",""
"Dungeon","","","","","","","",""
"","","","","","","Interessante","",""
"Foresta","","","5.0","https://5e.tools/bestiary.html#wood%20woad_vgm","Wood Woad","Non Violento","Pianta",""
"","","","","","","Interessante","",""
"Foresta","","","8.0","https://5e.tools/bestiary.html#corpse%20flower_mtf","Corpse Flower ","Endemico","Pianta",""
"Palude","","","","","","","",""
"","","","","","","Interessante","",""
"Foresta","","Vegepygmy","0.25","https://5e.tools/bestiary.html#vegepygmy_vgm","Vegepygmy","Vegepygmy","Pianta",""
"Palude","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Vegepygmy","1.0","https://5e.tools/bestiary.html#thorny_vgm","Vegepygmy Thorny","Vegepygmy","Pianta",""
"Palude","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Vegepygmy","2.0","https://5e.tools/bestiary.html#vegepygmy%20chief_vgm","Vegepygmy Chief","Vegepygmy","Pianta",""
"Palude","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Bugbear","1.0","https://5e.tools/bestiary.html#bugbear_mm","Bugbear","Bugbear","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Bugbear","3.0","https://5e.tools/bestiary.html#bugbear%20chief_mm","Bugbear Chief","Bugbear","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Palude","","Bullywug","0.25","https://5e.tools/bestiary.html#bullywug_mm","Bullywug","Bullywug","Umanoide",""
"","","","","","","Sociale","",""
"Deserto","","Coboldi","0.125","https://5e.tools/bestiary.html#kobold_mm","Coboldo","Coboldo","Umanoide",""
"Foresta","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Palude","","","","","","","",""
"Coste","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Coboldi","0.25","https://5e.tools/bestiary.html#winged%20kobold_mm","Coboldo Alato","Coboldo","Umanoide",""
"Foresta","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Palude","","","","","","","",""
"Coste","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Coboldi","0.25","https://5e.tools/bestiary.html#kobold%20inventor_vgm","Coboldo Inventore","Coboldo","Umanoide",""
"Foresta","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Palude","","","","","","","",""
"Coste","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Coboldi","1.0","https://5e.tools/bestiary.html#kobold%20dragonshield_vgm","Coboldo Dragonshield","Coboldo","Umanoide",""
"Foresta","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Palude","","","","","","","",""
"Coste","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Coboldi","1.0","https://5e.tools/bestiary.html#kobold%20scale%20sorcerer_vgm","Coboldo Scale Sorcerer","Coboldo","Umanoide",""
"Foresta","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Palude","","","","","","","",""
"Coste","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"","","Draghi Cromatici","5.0","https://5e.tools/bestiary.html#half-red%20dragon%20veteran_mm","Half-Red Dragon Veteran","Drago","Umanoide",""
"","","","","","","Rosso","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Underdark","","Drow","0.25","https://5e.tools/bestiary.html#drow_mm","Drow","Sociale","Umanoide",""
"Dungeon","","","","","","","",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"Underdark","","Drow","5.0","https://5e.tools/bestiary.html#drow%20elite%20warrior_mm","Drow Combattente Scelto","Sociale","Umanoide",""
"Dungeon","","","","","","","",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"Underdark","","Drow","7.0","https://5e.tools/bestiary.html#drow%20mage_mm","Drow Mago","Sociale","Umanoide",""
"Dungeon","","","","","","","",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"Underdark","","Drow","8.0","https://5e.tools/bestiary.html#drow%20priestess%20of%20lolth_mm","Drow Sacerdotessa di Lolth","Sociale","Umanoide",""
"Dungeon","","","","","","","",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"","","Drow","9.0","https://5e.tools/bestiary.html#drow%20house%20captain_mtf","Drow House Captain","Sociale","Umanoide",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"","","Drow","11.0","https://5e.tools/bestiary.html#drow%20shadowblade_mtf","Drow Shadowblade","Sociale","Umanoide",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"","","Drow","13.0","https://5e.tools/bestiary.html#drow%20arachnomancer_mtf","Drow Arachnomancer","Sociale","Umanoide",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"","","Drow","14.0","https://5e.tools/bestiary.html#drow%20inquisitor_mtf","Drow Inquisitor","Sociale","Umanoide",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"","","Drow","18.0","https://5e.tools/bestiary.html#drow%20favored%20consort_mtf","Drow Favored Consort","Sociale","Umanoide",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"","","Drow","20.0","https://5e.tools/bestiary.html#drow%20matron%20mother_mtf","Drow Matron Mother","Sociale","Umanoide",""
"","","Elfi","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Elfo","",""
"Underdark","","Nani","1.0","https://5e.tools/bestiary.html#duergar_mm","Duergar","Sociale","Umanoide",""
"Dungeon","","","","","","","",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","1.0","https://5e.tools/bestiary.html#duergar%20soulblade_mtf","Duergar Soulblade","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","2.0","https://5e.tools/bestiary.html#duergar%20xarrorn_mtf","Duergar Hammerer","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","2.0","https://5e.tools/bestiary.html#duergar%20kavalrachni_mtf","Duergar Kavalrachni","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","2.0","https://5e.tools/bestiary.html#duergar%20mind%20master_mtf","Duergar Mind Master","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","2.0","https://5e.tools/bestiary.html#duergar%20stone%20guard_mtf","Duergar Stone Guard","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","2.0","https://5e.tools/bestiary.html#duergar%20xarrorn_mtf","Duergar Xarrorn","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","3.0","https://5e.tools/bestiary.html#duergar%20screamer_mtf","Duergar Screamer","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","6.0","https://5e.tools/bestiary.html#duergar%20warlord_mtf","Duergar Warlord","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"","","Nani","12.0","https://5e.tools/bestiary.html#duergar%20despot_mtf","Duergar Despot","Sociale","Umanoide",""
"","","Duergar","","","","","",""
"","","","","","","Nano","",""
"","","","","","","Duergar","",""
"Deserto","","Firenewt","0.5","https://5e.tools/bestiary.html#firenewt%20warrior_vgm","Firenewt Warriror","Firenewt","Umanoide",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Firenewt","1.0","https://5e.tools/bestiary.html#firenewt%20warlock%20of%20imix_vgm","Firenewt Warlock of Imix","Firenewt","Umanoide",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Astrale","","Githyanki","3.0","https://5e.tools/bestiary.html#githyanki%20warrior_mm","Githyanki Guerriero","Githyanki","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Astrale","","Githyanki","8.0","https://5e.tools/bestiary.html#githyanki%20knight_mm","Githyanki Cavalliere","Githyanki","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Astrale","","Githyanki","10.0","https://5e.tools/bestiary.html#githyanki%20supreme%20commander_mtf","Githyanki Gish","Githyanki","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Astrale","","Githyanki","12.0","https://5e.tools/bestiary.html#githyanki%20supreme%20commander_mtf","Githyanki Kith'rak","Githyanki","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Astrale","","Githyanki","14.0","https://5e.tools/bestiary.html#githyanki%20supreme%20commander_mtf","Githyanki Supreme Commander","Githyanki","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Limbo","","Githzerai","2.0","https://5e.tools/bestiary.html#githzerai%20monk_mm","Githzerai Monaco","Githzerai","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Limbo","","Githzerai","6.0","https://5e.tools/bestiary.html#githzerai%20zerth_mm","Githzerai Zerth","Githzerai","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Limbo","","Githzerai","10.0","https://5e.tools/bestiary.html#githzerai%20enlightened_mtf","Githzerai Enlightened","Githzerai","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Limbo","","Githzerai","16.0","https://5e.tools/bestiary.html#githzerai%20anarch_mtf","Githzerai Anarch","Githzerai","Umanoide",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Deserto","","Gnoll","0.5","https://5e.tools/bestiary.html#gnoll_mm","Gnoll","Gnoll","Umanoide",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","Artico","Gnoll","0.5","https://5e.tools/bestiary.html#gnoll%20hunter_vgm","Gnoll Hunter","Gnoll","Umanoide","<p>I cacciatori sono gli Gnoll più furtivi in una banda da guerra e mettono a frutto i loro talenti sul campo di battaglia in diversi modi. All'avanguardia di una banda di guerra, i cacciatori si insinuano intorno, eliminando l'opposizione isolata mentre spianano la strada al resto della forza per correre brutalmente sul territorio nemico.</p><p>I cacciatori sono particolarmente abili con l'arco lungo e lanciano frecce con teste ferocemente uncinate. Anche quando un cacciatore non uccide il bersaglio con il suo primo colpo, il colpo di freccia provoca così tanto dolore che la vittima viene zoppicando nel tentativo di scappare. Quando un cacciatore in cerca di preda trova una preda e non è preoccupato di rimanere furtivo, suona un corno ricavato dall'osso che produce un lamento acuto simile all'urlo di una banshee.</p>"
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","Artico","Gnoll","1.0","https://5e.tools/bestiary.html#gnoll%20flesh%20gnawer_vgm","Gnoll Flesh Gnawer","Gnoll","Umanoide","<p>Se si potesse dire che un gruppo di Gnoll è più feroce degli altri, quella distinzione andrebbe ai rosicchiatori di carne. Questi Gnoll evitano l'uso di armi a distanza a favore di lame corte che brandiscono con velocità ed efficienza. Nel bel mezzo di un combattimento, sono in grado di correre attraverso il campo, tagliando e ringhiando mentre inseguono i ritardatari e finiscono i nemici feriti.</p>"
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Gnoll","2.0","https://5e.tools/bestiary.html#gnoll%20pack%20lord_mm","Gnoll Signore del Branco","Gnoll","Umanoide","<p>L'alfa di un branco di Gnoll è il signore del branco, che governa con potenza e astuzia. Un signore del branco guadagna il meglio del bottino, del cibo, dei ninnoli di valore e degli oggetti magici di un branco di Gnoll. Decora il suo corpo con piercing brutali e trofei grotteschi, tingendosi la pelliccia con sigilli demoniaci, sperando che Yeenoghu lo renda invulnerabile.</p>"
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","Artico","Gnoll","9.0","https://5e.tools/bestiary.html#flind_vgm","Gnoll Flind","Gnoll","Umanoide","<p>Un Flind è uno Gnoll eccezionalmente forte e feroce che comanda e dirige la banda da guerra di cui fa parte. Brandisce un flagello intriso di potente magia dallo stesso Yeenoghu.</p><p>Una banda da guerra può avere un solo Flind e quella creatura imposta il percorso di una banda da guerra. A causa della sua speciale connessione con Yeenoghu, un Flind usa presagi dati da Dio e intuizioni demoniache per guidare gli Gnoll verso prede deboli mature per il massacro.</p><p>A differenza di altri leader umanoidi che potrebbero nascondersi dietro i loro servitori, un Flind guida la carica in battaglia. Il suo flagello provoca dolore lancinante, paralisi e disorientamento in coloro che ne sono colpiti.</p>"
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Goblin","0.25","https://5e.tools/bestiary.html#goblin_mm","Goblin","Goblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","Hobgoblin","","","","","",""
"","","Bugbear","","","","","",""
"","","Orchi","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Goblin","1.0","https://5e.tools/bestiary.html#goblin%20boss_mm","Goblin Capo","Goblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","Hobgoblin","","","","","",""
"","","Bugbear","","","","","",""
"","","Orchi","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Goblin","1.0","https://5e.tools/bestiary.html#nilbog_vgm","Goblin Nilbog","Goblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Goblin","6.0","https://5e.tools/bestiary.html#booyahg%20booyahg%20booyahg_vgm","Buoyahg Buoyahg Buoyahg","Goblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Mago","",""
"Foresta","","Goblin","0.25","https://5e.tools/bestiary.html#booyahg%20caster_vgm","Booyahg Caster","Goblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Goblin","0.25","https://5e.tools/bestiary.html#booyahg%20whip_vgm","Booyahg Frusta","Goblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Goblin","0.25","https://5e.tools/bestiary.html#booyahg%20wielder_vgm","Booyahg Wielder","Goblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Grung","0.25","https://5e.tools/bestiary.html#grung_vgm","Grung","Grung","Umanoide",""
"","","","","","","Sociale","",""
"Foresta","","Grung","1.0","https://5e.tools/bestiary.html#grung%20wildling_vgm","Grung Wildling","Grung","Umanoide",""
"","","","","","","Sociale","",""
"Foresta","","Grung","2.0","https://5e.tools/bestiary.html#grung%20elite%20warrior_vgm","Grung Elite Warrior","Grung","Umanoide",""
"","","","","","","Sociale","",""
"Deserto","","Hobgoblin","0.5","https://5e.tools/bestiary.html#hobgoblin_mm","Hobgoblin","Hobgoblin","Umanoide",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Hobgoblin","2.0","https://5e.tools/bestiary.html#hobgoblin%20iron%20shadow_vgm","Hobgoblin Iorn Shadow","Hobgoblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Hobgoblin","3.0","https://5e.tools/bestiary.html#hobgoblin%20captain_mm","Hobgoblin Capitano","Hobgoblin","Umanoide",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Hobgoblin","4.0","https://5e.tools/bestiary.html#hobgoblin%20devastator_vgm","Hobgoblin Devastatore","Hobgoblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Hobgoblin","6.0","https://5e.tools/bestiary.html#hobgoblin%20warlord_mm","Hobgoblin Signore della Guerra","Hobgoblin","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Underdark","","Kuo-toa","0.25","https://5e.tools/bestiary.html#kuo-toa_mm","Kuo-toa","Kuo-toa","Umanoide",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Underdark","","Kuo-toa","1.0","https://5e.tools/bestiary.html#kuo-toa%20whip_mm","Kuo-toa Esecutore","Kuo-toa","Umanoide",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Underdark","","Kuo-toa","6.0","https://5e.tools/bestiary.html#kuo-toa%20archpriest_mm","Kuo-toa Sacerdote","Kuo-toa","Umanoide",""
"Dungeon","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Licantropi","0.5","https://5e.tools/bestiary.html#jackalwere_mm","Sciacallo Mannaro","Licantropo","Umanoide",""
"Prateria","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Licantropi","2.0","https://5e.tools/bestiary.html#wererat_mm","Ratto Mannaro","Licantropo","Umanoide",""
"","","","","","","Sociale","",""
"Foresta","","Licantropi","3.0","https://5e.tools/bestiary.html#werewolf_mm","Lupo Mannaro","Licantropo","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Licantropi","4.0","https://5e.tools/bestiary.html#wereboar_mm","Cinghiale Mannaro","Licantropo","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Sociale","",""
"Deserto","","Licantropi","4.0","https://5e.tools/bestiary.html#weretiger_mm","Tigre Mannara","Licantropo","Umanoide",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Giungla","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","Artico","Licantropi","5.0","https://5e.tools/bestiary.html#werebear_mm","Orso Mannaro","Licantropo","Umanoide",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Lucertoloidi","0.5","https://5e.tools/bestiary.html#lizardfolk_mm","Lucertoloide","Lucertoloide","Umanoide",""
"Palude","","","","","","","",""
"Giungla","","","","","","","",""
"","","","","","","Sociale","",""
"Foresta","","Lucertoloidi","2.0","https://5e.tools/bestiary.html#lizardfolk%20shaman_mm","Lucertoloide Sciamano","Lucertoloide","Umanoide",""
